timestamp,sim_time_s,hip_angle_rad,knee_angle_rad,ekf_angle_rad,iq_ref,hip_torque_Nm,knee_torque_Nm
2026-07-27T16:44:44.018810,0.0515,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018819,0.0520,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018829,0.0525,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018840,0.0530,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018850,0.0535,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018860,0.0540,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018869,0.0545,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018879,0.0550,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018889,0.0555,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018899,0.0560,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018909,0.0565,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018919,0.0570,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018928,0.0575,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018938,0.0580,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018948,0.0585,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018958,0.0590,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018968,0.0595,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018977,0.0600,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018987,0.0605,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018997,0.0610,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019007,0.0615,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019017,0.0620,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019027,0.0625,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019037,0.0630,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019047,0.0635,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019056,0.0640,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019066,0.0645,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019076,0.0650,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019085,0.0655,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019095,0.0660,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019105,0.0665,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019115,0.0670,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019124,0.0675,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019134,0.0680,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019145,0.0685,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019155,0.0690,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019164,0.0695,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019174,0.0700,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019184,0.0705,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019194,0.0710,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019203,0.0715,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019213,0.0720,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019223,0.0725,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019233,0.0730,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019243,0.0735,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019253,0.0740,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019268,0.0745,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019278,0.0750,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019288,0.0755,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019298,0.0760,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019308,0.0765,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019317,0.0770,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019328,0.0775,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019344,0.0780,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019359,0.0785,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019375,0.0790,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019390,0.0795,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019406,0.0800,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019421,0.0805,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019436,0.0810,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019452,0.0815,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019468,0.0820,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019483,0.0825,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019498,0.0830,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019514,0.0835,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019529,0.0840,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019546,0.0845,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019561,0.0850,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019577,0.0855,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019593,0.0860,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019608,0.0865,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019632,0.0870,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019646,0.0875,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019657,0.0880,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019669,0.0885,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019679,0.0890,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019688,0.0895,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019698,0.0900,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019708,0.0905,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019718,0.0910,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019728,0.0915,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019738,0.0920,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019748,0.0925,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019758,0.0930,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019768,0.0935,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019778,0.0940,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019788,0.0945,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019797,0.0950,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019807,0.0955,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019817,0.0960,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019826,0.0965,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019837,0.0970,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.019846,0.0975,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.019856,0.0980,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.019867,0.0985,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.019877,0.0990,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.019887,0.0995,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.117438,0.1000,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117468,0.1005,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117480,0.1010,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117490,0.1015,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117500,0.1020,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117510,0.1025,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117520,0.1030,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117530,0.1035,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117540,0.1040,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117550,0.1045,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117560,0.1050,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117570,0.1055,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117580,0.1060,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117589,0.1065,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117599,0.1070,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117609,0.1075,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117619,0.1080,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117629,0.1085,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117639,0.1090,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117649,0.1095,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117658,0.1100,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117667,0.1105,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117677,0.1110,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117686,0.1115,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117696,0.1120,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117705,0.1125,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117715,0.1130,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117724,0.1135,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117740,0.1140,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117750,0.1145,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117759,0.1150,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117768,0.1155,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117778,0.1160,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117787,0.1165,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117797,0.1170,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117806,0.1175,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117815,0.1180,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117825,0.1185,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117834,0.1190,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117843,0.1195,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117853,0.1200,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117862,0.1205,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
2026-07-27T16:44:44.117872,0.1210,-0.425778,-0.005757,0.000000,-2.128888,-2.235332,-1.341199
2026-07-27T16:44:44.117885,0.1215,-0.424270,-0.006580,0.000000,-2.121349,-2.227416,-1.336450
2026-07-27T16:44:44.117900,0.1220,-0.422762,-0.007402,0.000000,-2.113810,-2.219501,-1.331700
2026-07-27T16:44:44.117915,0.1225,-0.428793,-0.004112,0.000000,-2.143966,-2.251164,-1.350698
2026-07-27T16:44:44.117930,0.1230,-0.427285,-0.004935,0.000000,-2.136427,-2.243248,-1.345949
